title,url,is_paid,price,level,platform,content
Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200.0,All Levels,Udemy,ultimate investment banking course all levels business finance
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75.0,All Levels,Udemy,complete gst course  certification  grow your ca practice all levels business finance
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45.0,Intermediate Level,Udemy,financial modeling for business analysts and consultants intermediate level business finance
Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95.0,All Levels,Udemy,beginner to pro  financial analysis in excel 2017 all levels business finance
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200.0,Intermediate Level,Udemy,how to maximize your profits trading options intermediate level business finance
Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150.0,All Levels,Udemy,trading penny stocks a guide for all levels in 2017 all levels business finance
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65.0,Beginner Level,Udemy,investing and trading for beginners mastering price charts beginner level business finance
"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95.0,All Levels,Udemy,trading stock chart patterns for immediate explosive gains all levels business finance
Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,True,195.0,Expert Level,Udemy,options trading 3  advanced stock profit and success method expert level business finance
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200.0,All Levels,Udemy,the only investment strategy you need for your retirement all levels business finance
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200.0,All Levels,Udemy,forex trading secrets of the pros with amazons aws all levels business finance
Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,True,200.0,All Levels,Udemy,trading options with money flow all levels business finance
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,True,30.0,All Levels,Udemy,financial management risk and return for securities all levels business finance
Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,True,195.0,All Levels,Udemy,forex trading course work smarter not harder proven results all levels business finance
Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200.0,All Levels,Udemy,python algo trading sentiment trading with news all levels business finance
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,True,75.0,Intermediate Level,Udemy,short selling learn to sell stocks before the fall intermediate level business finance
Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,True,20.0,Beginner Level,Udemy,basic technical analysis learn the structure of the market beginner level business finance
The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,True,200.0,All Levels,Udemy,the complete chart pattern trading course a proven approach all levels business finance
7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,True,50.0,All Levels,Udemy,7 deadly mistakes of investing that will slash your profits all levels business finance
Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,True,95.0,Beginner Level,Udemy,financial statements made easy beginner level business finance
Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200.0,All Levels,Udemy,winning forex trading with live forex trading examples all levels business finance
Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,True,200.0,All Levels,Udemy,forex traders  create your first trading robot no coding all levels business finance
Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,True,75.0,All Levels,Udemy,create a business from home trading stocks today in 2017 all levels business finance
Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,True,50.0,Beginner Level,Udemy,introduction to accounting  mastering financial statements beginner level business finance
The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,True,45.0,All Levels,Udemy,the complete ethereum course get 01 ether in your wallet all levels business finance
Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,True,150.0,All Levels,Udemy,beginner to pro in powerpoint complete powerpoint training all levels business finance
Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,True,200.0,All Levels,Udemy,investing 101 the complete online investing course all levels business finance
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,True,175.0,Intermediate Level,Udemy,create your own hedge fund trade stocks like a fund manager intermediate level business finance
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,True,150.0,All Levels,Udemy,learn mql5 build an 8currency hedging robot metatrader 5 all levels business finance
Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140.0,Beginner Level,Udemy,forex trading your complete guide to get started like a pro beginner level business finance
Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95.0,Beginner Level,Udemy,python algo stock trading automate your trading beginner level business finance
THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,True,200.0,All Levels,Udemy,the forex robot incredible roi robot included all levels business finance
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,True,45.0,All Levels,Udemy,the complete bitcoin course get 001 bitcoin in your wallet all levels business finance
Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200.0,All Levels,Udemy,mastering high probability iron condor options trading all levels business finance
The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200.0,All Levels,Udemy,the complete short course on ethereum all levels business finance
Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,True,195.0,Intermediate Level,Udemy,options trading stocks proven toolbox for financial success intermediate level business finance
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,True,195.0,Beginner Level,Udemy,forex trading az  with live examples of forex trading beginner level business finance
"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,True,200.0,All Levels,Udemy,introduction to finance accounting modeling and valuation all levels business finance
Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,True,195.0,All Levels,Udemy,beginner to pro in excel financial modeling and valuation all levels business finance
The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,True,195.0,All Levels,Udemy,the complete investment banking course 2017 all levels business finance
The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,True,195.0,All Levels,Udemy,the complete financial analyst course 2017 all levels business finance
Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195.0,All Levels,Udemy,python for finance investment fundamentals  data analytics all levels business finance
Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,True,195.0,Beginner Level,Udemy,financial modeling for startups  small businesses beginner level business finance
Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,True,115.0,Intermediate Level,Udemy,options trading  how to win with weekly options intermediate level business finance
Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,True,200.0,All Levels,Udemy,black algo trading build your trading robot all levels business finance
Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,True,150.0,All Levels,Udemy,accounting  financial statement analysis complete training all levels business finance
Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95.0,All Levels,Udemy,cryptocurrency trading complete guide to trading altcoins all levels business finance
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,True,200.0,All Levels,Udemy,forex robots expect to earn 175 pa forex robot included all levels business finance
Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190.0,All Levels,Udemy,three steps trading  live trading  real account all levels business finance
Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,True,150.0,All Levels,Udemy,option trading for rookies  understand options completely all levels business finance
How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200.0,Expert Level,Udemy,how i learned stock trading and how you can too expert level business finance
Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,True,95.0,All Levels,Udemy,learn to trade for profit find and trade winning stocks all levels business finance
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,True,125.0,Intermediate Level,Udemy,trading inside bars  master 1 easy pattern to be successful intermediate level business finance
